message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.427910, y=11.120029])";"30";"turtlesim1.sim";"1696320704.297471908";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.450019, y=11.120029])";"30";"turtlesim3.sim";"1696320704.282470104";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.435279, y=11.120029])";"30";"turtlesim1.sim";"1696320704.281914724";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.442649, y=11.120029])";"30";"turtlesim2.sim";"1696320704.281854384";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.457388, y=11.120029])";"30";"turtlesim3.sim";"1696320704.266575750";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.442649, y=11.120029])";"30";"turtlesim1.sim";"1696320704.265543599";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.450019, y=11.120029])";"30";"turtlesim2.sim";"1696320704.265472609";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.464758, y=11.120029])";"30";"turtlesim3.sim";"1696320704.250017405";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.457388, y=11.120029])";"30";"turtlesim2.sim";"1696320704.249989495";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.450019, y=11.120029])";"30";"turtlesim1.sim";"1696320704.249178765";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.464758, y=11.120029])";"30";"turtlesim2.sim";"1696320704.233829780";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.457388, y=11.120029])";"30";"turtlesim1.sim";"1696320704.233787790";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.472128, y=11.120029])";"30";"turtlesim3.sim";"1696320704.233640330";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.479497, y=11.120029])";"30";"turtlesim3.sim";"1696320704.218107746";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.472128, y=11.120029])";"30";"turtlesim2.sim";"1696320704.217464365";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.464758, y=11.120029])";"30";"turtlesim1.sim";"1696320704.217375055";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.486867, y=11.120029])";"30";"turtlesim3.sim";"1696320704.202317031";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.479497, y=11.120029])";"30";"turtlesim2.sim";"1696320704.201964871";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.472128, y=11.120029])";"30";"turtlesim1.sim";"1696320704.200978721";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.494237, y=11.120029])";"30";"turtlesim3.sim";"1696320704.186556987";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.486867, y=11.120029])";"30";"turtlesim2.sim";"1696320704.185572126";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.479497, y=11.120029])";"30";"turtlesim1.sim";"1696320704.185520666";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.494237, y=11.120029])";"30";"turtlesim2.sim";"1696320704.170100032";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.501606, y=11.120029])";"30";"turtlesim3.sim";"1696320704.170043352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.486867, y=11.120029])";"30";"turtlesim1.sim";"1696320704.169144152";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.494237, y=11.120029])";"30";"turtlesim1.sim";"1696320704.153688757";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.501606, y=11.120029])";"30";"turtlesim2.sim";"1696320704.153668497";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.508976, y=11.120029])";"30";"turtlesim3.sim";"1696320704.153619067";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.516346, y=11.120029])";"30";"turtlesim3.sim";"1696320704.138340923";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.508976, y=11.120029])";"30";"turtlesim2.sim";"1696320704.138302633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.501606, y=11.120029])";"30";"turtlesim1.sim";"1696320704.137344553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.523716, y=11.120029])";"30";"turtlesim3.sim";"1696320704.121940338";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.508976, y=11.120029])";"30";"turtlesim1.sim";"1696320704.121900388";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.516346, y=11.120029])";"30";"turtlesim2.sim";"1696320704.121897438";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.516346, y=11.120029])";"30";"turtlesim1.sim";"1696320704.105804604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.523716, y=11.120029])";"30";"turtlesim2.sim";"1696320704.105540423";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.523716, y=11.120029])";"30";"turtlesim1.sim";"1696320704.089344279";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.531085, y=11.110239])";"30";"turtlesim3.sim";"1696320703.801657817";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.554922, y=11.110239])";"30";"turtlesim3.sim";"1696320703.786571272";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.531085, y=11.110239])";"30";"turtlesim2.sim";"1696320703.785692302";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.554922, y=11.110239])";"30";"turtlesim2.sim";"1696320703.770249298";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.578759, y=11.110239])";"30";"turtlesim3.sim";"1696320703.769773307";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.531085, y=11.110239])";"30";"turtlesim1.sim";"1696320703.769395767";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.602596, y=11.110239])";"30";"turtlesim3.sim";"1696320703.754557303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.554922, y=11.110239])";"30";"turtlesim1.sim";"1696320703.753926543";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.578759, y=11.110239])";"30";"turtlesim2.sim";"1696320703.753914013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.626433, y=11.110239])";"30";"turtlesim3.sim";"1696320703.738152848";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.602596, y=11.110239])";"30";"turtlesim2.sim";"1696320703.737538678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.578759, y=11.110239])";"30";"turtlesim1.sim";"1696320703.737435658";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650270, y=11.110239])";"30";"turtlesim3.sim";"1696320703.722438174";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.626433, y=11.110239])";"30";"turtlesim2.sim";"1696320703.721985624";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.602596, y=11.110239])";"30";"turtlesim1.sim";"1696320703.720976103";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.674107, y=11.102717])";"30";"turtlesim3.sim";"1696320703.706443459";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650270, y=11.110239])";"30";"turtlesim2.sim";"1696320703.705633319";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.626433, y=11.110239])";"30";"turtlesim1.sim";"1696320703.705514279";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.674107, y=11.102717])";"30";"turtlesim2.sim";"1696320703.690123905";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650270, y=11.110239])";"30";"turtlesim1.sim";"1696320703.689119264";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.674107, y=11.102717])";"30";"turtlesim1.sim";"1696320703.673910290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.956201, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.169999981";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.956201, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.153859366";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.987361, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.153622856";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.987361, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.138345292";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.018522, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.138219942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.956201, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.137329592";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.018522, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.121884437";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.049682, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.121838497";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=6.987361, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.121001967";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.049682, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.106269303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.080842, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.105819063";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.018522, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.105668872";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.112003, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.090502578";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.080842, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.089615838";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.049682, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.089339018";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.112003, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.074305194";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.143163, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.074105363";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.080842, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.073006103";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.112003, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.057906969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.143163, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.057842079";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.174323, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.057753349";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.174323, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.042186934";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.205483, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.041958624";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.143163, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.041581304";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.174323, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.025864090";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.205483, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.025762500";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.236644, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.025677580";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.267804, y=-0.007283])";"30";"turtlesim3.sim";"1696320694.009649795";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.236644, y=-0.007283])";"30";"turtlesim2.sim";"1696320694.009632705";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.205483, y=-0.007283])";"30";"turtlesim1.sim";"1696320694.009445585";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.298964, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.994112181";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.267804, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.993858760";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.236644, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.993059930";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.330125, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.978536166";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.267804, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.977640646";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.298964, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.977531536";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.330125, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.962152331";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.361285, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.961632261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.298964, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.961311131";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.392445, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.946296817";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.361285, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.945912717";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.330125, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.944981657";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.423605, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.930427572";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.361285, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.929561542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.392445, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.929542452";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.454766, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.914478968";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.423605, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.914236188";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.392445, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.913224317";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.485926, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.897997633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.454766, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.897896783";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.423605, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.897823413";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.517086, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.882570779";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.454766, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.881804138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.485926, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.881589518";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.517086, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.866010394";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.548247, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.865941604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.485926, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.865350144";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.517086, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.849763519";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.548247, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.849667989";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.579407, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.849602839";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.610567, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.834258595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.579407, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.834234695";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.548247, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.833402185";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.641728, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.817991290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.610567, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.817941620";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.579407, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.817067940";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.672888, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.802187666";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.641728, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.802000096";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.610567, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.801727676";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.641728, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.785894251";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.704048, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.785825711";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.672888, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.785681091";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.735208, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.770428097";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.704048, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.770325767";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.672888, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.769511486";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.766369, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.754050602";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.735208, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.754003002";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.704048, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.753139752";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.797529, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.738061867";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.766369, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.737965607";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.735208, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.737803067";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.766369, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.721813093";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.828689, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.721711643";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.797529, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.721650053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.859850, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.706498718";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.828689, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.706289818";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.797529, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.705441138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.891010, y=-0.007283])";"30";"turtlesim3.sim";"1696320693.690073884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.859850, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.689872884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.828689, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.689006613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.859850, y=-0.007283])";"30";"turtlesim1.sim";"1696320693.673578639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=7.891010, y=-0.007283])";"30";"turtlesim2.sim";"1696320693.673512099";"./src/turtle.cpp:update:260"
